SOA1;SOA2;StimTargetID;StimPair1Bg;StimPair1Target;StimPair2Bg;StimPair2Target;Ring;TargetLuminance;BgLuminance;TargetSelected;TOJ1Correct;TOJ2Correct;Tutorial;InAsteroidField;PresentationSpeed;RingPassSpeed;StationCount;PresentationTurbo;RingPassTurbo;StationExploded;GameTime
-0.05;-0.1;1;2;0;3;1;1;0.87843;0.3451;true;true;true;false;false;3950.62695;5066.39014;86;false;false;false;455.7814
0;-0.05;2;1;3;0;2;3;0.59608;0.3451;true;false;true;false;false;3985.16821;3999.92944;87;false;false;false;459.39114
-0.1;-0.1;0;2;0;1;3;0;0.59608;0.3451;true;true;true;false;false;3999.92944;3999.92944;88;false;false;false;463.13315
-0.1;0.05;3;2;0;1;3;1;0.3451;0.3451;false;true;true;false;false;3999.92944;4790.10498;89;false;false;false;466.66415
0;0;0;2;0;3;1;0;0.59608;0.3451;true;false;true;false;false;3999.92944;3999.92944;90;false;false;false;470.41104
0.1;0.05;1;2;0;3;1;0;0.59608;0.3451;false;false;true;false;false;3999.92944;5256.65869;91;false;false;false;473.83771
0.05;0;0;2;0;1;3;0;0.47059;0.3451;true;false;false;false;false;3999.92944;5135.81641;92;false;false;false;477.23581
0.1;-0.05;3;1;3;0;2;1;0.59608;0.3451;false;true;false;false;false;3999.92944;4995.55762;93;false;false;false;480.65384
0.1;0.05;0;2;0;1;3;0;0.47059;0.3451;true;false;false;false;false;3999.92944;4738.06787;94;false;false;false;484.13791
0.1;0.05;0;3;1;2;0;3;0.87843;0.3451;false;true;true;false;false;3999.92944;4967.32764;95;false;false;false;487.56488
-0.05;-0.1;3;0;2;1;3;2;0.3451;0.3451;false;true;false;false;false;3999.92944;5112.48828;96;false;false;false;490.96689
-0.05;-0.05;1;3;1;0;2;3;0.3451;0.3451;false;false;true;false;false;3999.92944;5500;97;false;true;false;494.32498
0.05;0.1;0;2;0;3;1;0;0.47059;0.3451;true;false;true;false;false;3999.92944;5185.99121;98;false;false;false;497.64822
-0.05;0.1;0;1;3;2;0;3;0.47059;0.3451;false;true;true;false;false;3999.92944;5306.94287;99;false;true;false;501.09628
0.05;-0.05;2;0;2;3;1;2;0.47059;0.3451;true;false;true;false;false;3999.92944;5148.34229;100;false;false;false;504.41922
0.05;0.05;1;3;1;2;0;3;0.47059;0.3451;false;true;true;false;true;3999.92944;5484.3667;103;false;false;false;507.79547
-0.05;0.05;0;1;3;2;0;0;0.87843;0.3451;true;true;false;false;true;3999.92944;3999.92944;103;false;false;false;511.47202
0.1;0.05;0;2;0;1;3;3;0.59608;0.3451;false;true;false;false;false;3999.92944;4371.58594;103;false;false;false;520.98517
0;-0.1;0;3;1;2;0;0;0.59608;0.3451;true;true;true;false;false;3999.92944;3999.92944;104;false;false;false;524.74335
-0.1;0.1;3;1;3;0;2;3;0.47059;0.3451;true;true;false;false;false;3999.92944;3999.92944;105;false;false;false;528.49951
0;0.05;3;2;0;1;3;0;0.87843;0.3451;true;false;false;false;false;3999.92944;3999.92944;106;false;false;false;532.22827
-0.1;0.1;1;2;0;3;1;0;0.47059;0.3451;false;true;true;false;false;3999.92944;3999.92944;107;false;false;false;535.9588
-0.1;-0.05;3;2;0;1;3;0;0.3451;0.3451;true;true;true;false;false;3999.92944;3999.92944;108;false;false;false;539.70258
-0.1;-0.1;1;0;2;3;1;3;0.3451;0.3451;false;true;false;false;false;3999.92944;5500;109;false;true;false;543.08606
0.05;0.05;1;0;2;3;1;0;0.59608;0.3451;false;true;true;false;false;3999.92944;5500;110;false;true;false;546.2995
0;-0.05;0;3;1;2;0;3;0.3451;0.3451;false;true;false;false;false;4032.3186;5466.57715;111;false;false;false;549.48083
-0.05;0.1;0;2;0;1;3;2;0.3451;0.3451;false;false;true;false;false;3999.92944;5500;112;false;true;false;552.74921
-0.05;0;0;1;3;2;0;0;0.3451;0.3451;true;true;false;false;false;4146.03223;5500;113;false;true;false;555.97369
0;0.1;2;0;2;1;3;2;0.3451;0.3451;true;false;true;false;false;3999.92944;5500;114;false;true;false;559.22406
0.1;-0.05;1;2;0;3;1;0;0.47059;0.3451;false;false;false;false;false;4420.31982;5500;115;false;true;false;562.38025
0.05;0.05;1;0;2;3;1;1;0.47059;0.3451;true;true;false;false;false;4180.43799;5500;116;false;true;false;565.48926
-0.1;-0.05;0;2;0;3;1;0;0.47059;0.3451;true;true;false;false;false;4179.37354;3999.92944;117;false;false;false;569.01239
-0.05;0.1;3;1;3;0;2;0;0.87843;0.3451;true;true;true;false;false;3999.92944;4060.44849;118;false;true;false;572.60242
0;0.05;1;3;1;2;0;0;0.47059;0.3451;false;true;false;false;false;3999.92944;4921.81543;119;false;true;false;576.0329
0.1;-0.1;0;2;0;1;3;1;0.87843;0.3451;true;false;false;false;false;3999.92944;3999.92944;120;false;false;false;579.64502
-0.1;0.05;1;2;0;3;1;0;0.87843;0.3451;false;true;true;false;true;3999.92944;3999.92944;123;false;false;false;583.34698
0.05;0;3;2;0;1;3;3;0.87843;0.3451;true;true;false;false;true;3999.92944;5372.24414;123;false;true;false;586.729
-0.05;0.05;3;1;3;0;2;0;0.47059;0.3451;true;true;true;false;false;3999.92944;3999.92944;123;false;false;false;596.31793
-0.05;-0.05;2;0;2;3;1;3;0.47059;0.3451;true;true;false;false;false;3999.92944;3999.92944;124;false;false;false;600.05817
-0.1;-0.05;0;2;0;3;1;1;0.87843;0.3451;true;true;true;false;false;3999.92944;3999.92944;125;false;false;false;603.80908
